kind,unit,var,model,ssp,period,year,E_annual,traffic_coverage
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2030,10.503469797856102,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2031,5.572294971308535,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2032,7.465507137931763,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2033,4.3496100676547655,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2034,2.083569212468639,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2035,5.950633001412124,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2036,14.351556979637216,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2037,4.019701675781449,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2038,1.919930141336359,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2039,4.915160948899135,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2040,8.08226137325415,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2041,4.600255079168933,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2042,4.168205212594479,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2043,4.6110458371978105,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2044,2.420976816455088,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2045,8.863233129558735,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2046,8.37103534028879,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2047,6.006099816820074,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2048,9.015553828458096,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2049,5.141421977264117,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2050,6.8449286512358425,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2051,3.346025107358888,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2052,1.6731577266555495,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2053,2.6186610986008083,1.0
basin,ARS,wave,masnum,SSP1-2.6,2030-2054,2054,6.114976226144584,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2076,3.5935330797593408,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2077,2.122473057773765,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2078,5.392719846795592,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2079,4.960101413069822,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2080,9.19349480934311,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2081,1.708696004268858,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2082,4.093380664711146,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2083,11.00847709154668,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2084,1.4803130645544444,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2085,5.457938912345748,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2086,8.500601941667515,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2087,3.5867075542685525,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2088,8.1602010493882,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2089,4.584890335914803,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2090,12.19607512837644,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2091,3.442263654062982,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2092,4.3808669262728985,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2093,2.44737552063548,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2094,5.374530563903816,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2095,3.1697816832513364,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2096,4.335572695566436,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2097,3.315141271414225,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2098,2.125635150342453,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2099,11.467917150331925,1.0
basin,ARS,wave,masnum,SSP1-2.6,2076-2100,2100,3.1303446687429077,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2030,8.046236247314482,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2031,5.613046674723798,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2032,4.070321716474821,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2033,4.535143014512624,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2034,2.889736721244591,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2035,4.940540670870299,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2036,3.3882324036614957,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2037,2.457635935522104,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2038,4.581335306207868,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2039,5.113416625277814,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2040,13.68310489667186,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2041,4.922075461503091,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2042,0.8884543104359639,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2043,2.343375369351925,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2044,2.6562626947389134,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2045,13.041414277076736,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2046,5.314965972123011,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2047,2.336387904880537,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2048,12.553000401319467,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2049,5.497425065342949,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2050,4.02603948117393,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2051,4.157713499160797,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2052,4.038975080231957,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2053,4.469836649422472,1.0
basin,ARS,wave,masnum,SSP2-4.5,2030-2054,2054,2.3839868348480606,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2076,2.9664475360648384,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2077,7.072492701408471,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2078,3.6543831689719153,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2079,2.332923318580381,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2080,3.5518699846884725,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2081,9.850858767195044,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2082,3.124818010823715,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2083,10.167718472222807,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2084,4.400417835459833,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2085,2.6186016630952254,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2086,4.634497393284199,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2087,0.2777899048255675,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2088,1.0963217670740075,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2089,3.215177031306279,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2090,3.033292721693423,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2091,5.267269465449029,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2092,4.809928930932983,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2093,2.7832572709273578,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2094,3.9335625423373233,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2095,7.545826282597807,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2096,1.5926510728605603,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2097,4.758067438681887,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2098,10.062477098434792,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2099,8.676977668831586,1.0
basin,ARS,wave,masnum,SSP2-4.5,2076-2100,2100,1.4261314430450038,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2030,5.801576816187897,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2031,2.7140532029603195,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2032,3.1171856250473367,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2033,3.200870148153044,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2034,0.973443238899358,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2035,4.565259821886313,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2036,4.212443778383621,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2037,7.258637281651591,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2038,10.205206785638154,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2039,1.8530682759220511,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2040,1.380970325829593,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2041,9.240411016318603,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2042,8.680403445748558,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2043,4.265044564375505,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2044,0.9757737417226784,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2045,7.458754927490007,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2046,2.222442783402751,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2047,11.083883913983891,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2048,1.996117331394201,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2049,7.163134942420748,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2050,7.254036239724469,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2051,5.500652892890443,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2052,6.173407796113136,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2053,6.551624527601451,1.0
basin,ARS,wave,masnum,SSP5-8.5,2030-2054,2054,1.984704995979338,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2076,6.269851308559328,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2077,2.2945618720368195,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2078,12.78150570080812,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2079,9.323098936463836,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2080,11.096057201711906,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2081,4.1776676814302975,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2082,5.146661154874729,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2083,0.8344958668050924,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2084,4.7996821899332165,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2085,8.397993352227616,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2086,3.0833871135008035,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2087,1.954087219872941,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2088,2.629544989856812,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2089,1.300587799530791,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2090,9.316093946289795,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2091,1.1528840118413084,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2092,5.296643141097041,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2093,7.094139699397185,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2094,2.404260497565692,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2095,6.941179571972799,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2096,4.67711415089557,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2097,3.047974378714646,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2098,3.503261560900346,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2099,5.559303592466968,1.0
basin,ARS,wave,masnum,SSP5-8.5,2076-2100,2100,7.595252666399884,1.0
basin,ARS,wind,access_cm2,SSP1-2.6,2030-2054,2030,8.3971022042282,1.0
basin,ARS,wind,access_cm2,SSP1-2.6,2030-2054,2031,12.27884907385412,1.0
basin,ARS,wind,access_cm2,SSP1-2.6,2030-2054,2032,13.640948875223684,1.0
basin,ARS,wind,access_cm2,SSP1-2.6,2030-2054,2033,11.79021674916702,1.0
basin,ARS,wind,access_cm2,SSP1-2.6,2030-2054,2034,10.650499635423184,1.0
basin,ARS,wind,access_cm2,SSP1-2.6,2030-2054,2035,11.908018392157553,1.0
basin,ARS,wind,access_cm2,SSP1-2.6,2030-2054,2036,16.054835120925524,1.0
basin,ARS,wind,access_cm2,SSP1-2.6,2030-2054,2037,7.976347426044573,1.0
