scale,unit,var,model,ssp,year,E_annual
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2026,6.663436731874009
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2027,6.129908383609855
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2028,5.796696934608306
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2029,7.61512990838278
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2030,6.244926564689385
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2031,8.391472159586272
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2032,4.378735246916857
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2033,3.168484774615219
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2034,6.525504296421982
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2035,7.232331850406451
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2036,10.001970463362394
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2037,8.417271009810728
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2038,6.117516809879993
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2039,7.528856115545528
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2040,5.999695289169878
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2041,9.57740670769988
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2042,7.469681272471595
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2043,5.883722347491535
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2044,5.354033355678117
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2045,4.82507566985532
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2046,8.265301562149805
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2047,7.792105958111412
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2048,7.839254880450858
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2049,6.24833932597892
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2050,8.263838950168534
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2051,5.312897393706046
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2052,5.217583846262565
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2053,8.163792227841489
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2054,6.272086456618553
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2055,6.188717573688527
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2056,7.020070286630417
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2057,7.251325492107078
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2058,5.239543340036345
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2059,7.963373758302419
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2060,7.953094846323072
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2061,6.066609787311085
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2062,6.668819956527084
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2063,7.673614073576596
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2064,6.001868893086359
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2065,6.390923680093453
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2066,7.134458731995784
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2067,5.562394620837491
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2068,6.877404676294729
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2069,8.911126008083933
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2070,8.733215511811572
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2071,5.036707497917203
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2072,6.686168159748914
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2073,7.634570459299748
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2074,7.18315152253763
corridor,NE_ASIA_LALB,wave,masnum,SSP1-2.6,2075,7.817600097506485
