var,year,exposure_days,ecd
wave,1980,0.6123201039126192,187340
wave,1981,0.6007253267756352,153764
wave,1982,0.666666706853495,192950
wave,1983,0.7262343090238864,181709
wave,1984,0.6757290239164754,148532
wave,1985,0.5017096726135646,174314
wave,1986,0.7653960327479514,160019
wave,1987,0.6551868972782999,187019
wave,1988,0.5679318995551458,163955
wave,1989,0.8007121297096369,210317
wave,1990,0.7491485395149464,176344
wave,1991,0.7837802813906449,179724
wave,1992,0.6272891220175659,186698
wave,1993,0.7584079531531115,223323
wave,1994,0.9057961440549006,216895
wave,1995,0.714843288358614,210656
wave,1996,0.828006074494472,177559
wave,1997,0.8800956304708487,221419
wave,1998,0.9598075088644775,262830
wave,1999,0.7299874387400165,223637
wave,2000,0.8205847187206664,217376
wave,2001,0.7193996194492792,220179
wave,2002,0.9402107255934838,191047
wave,2003,0.6942748640902519,190936
wave,2004,0.6684158437210403,173885
wave,2005,0.6793719651100099,176224
wave,2006,0.669565822294431,202391
wave,2007,0.744549678035453,188719
wave,2008,0.618803246470284,190057
wave,2009,0.8751642045216421,177815
wave,2010,0.6248196066737256,213638
wave,2011,0.7637055130196928,207977
wave,2012,0.5620049156891914,190401
wave,2013,0.7996334199621388,202233
wave,2014,0.9737196546279674,199160
wave,2015,0.6877038502038244,235687
wave,2016,0.7811486939611343,241018
wave,2017,0.6728028483705827,203964
wave,2018,0.7991255318265583,207587
wave,2019,0.7671198786963207,214582
wave,2020,0.7825009854556859,213346
wave,2021,0.5621424496310655,226841
wave,2022,0.6608788517136187,203150
wave,2023,0.7474331027689313,187998
wave,2024,0.7719923926792438,185169
wind,1980,0.2070533288751751,56616
wind,1981,0.2385012278528833,55535
wind,1982,0.20755892623394961,59785
wind,1983,0.2587634281843525,60465
wind,1984,0.22500746132226032,55488
wind,1985,0.18320092754411788,55773
wind,1986,0.2456563613434654,55411
wind,1987,0.2917605013632514,59724
wind,1988,0.22421475521662054,53959
wind,1989,0.25331123184690496,64870
wind,1990,0.280589392893002,60841
wind,1991,0.2784872430821647,60548
wind,1992,0.17350137646974073,53687
wind,1993,0.26694019805360847,60027
wind,1994,0.2136786833139781,60676
wind,1995,0.18916692810867813,57611
wind,1996,0.24658245102005444,57895
wind,1997,0.2570918525079162,61624
wind,1998,0.24939171738219185,63984
wind,1999,0.24708571349557956,60165
wind,2000,0.2587340727400474,58253
wind,2001,0.19692467768135885,58120
wind,2002,0.24632171279717704,56584
wind,2003,0.1569103504269436,54977
wind,2004,0.21532512876766927,57240
wind,2005,0.30918268785956604,54133
wind,2006,0.18796556518188678,58045
wind,2007,0.24255521455603934,60119
wind,2008,0.21045482311658295,55680
wind,2009,0.27554703317020424,55496
wind,2010,0.2465956177924762,59924
wind,2011,0.2508755342089083,63924
wind,2012,0.18351920400529306,56938
wind,2013,0.2172585708482086,61234
wind,2014,0.2806119322690404,61343
wind,2015,0.23893231274182947,66175
wind,2016,0.20360140505072183,62959
wind,2017,0.24192020818059742,59237
wind,2018,0.22827626536139262,62393
wind,2019,0.25504881431184795,58246
wind,2020,0.24999170705081677,62656
wind,2021,0.18620500087514855,63835
wind,2022,0.2720631175513634,63911
wind,2023,0.26198226760294163,59864
wind,2024,0.2975165730136674,58962
