var,year,month,exposure_days
wave,1980,1,0.09502681996392537
wave,1980,2,0.07878873333335888
wave,1980,3,0.07580552959206463
wave,1980,4,0.0398863718447261
wave,1980,5,0.01473005865530409
wave,1980,6,0.010970687188874726
wave,1980,7,0.01145554246991081
wave,1980,8,0.011099128901454015
wave,1980,9,0.02513445050747715
wave,1980,10,0.06263777200416498
wave,1980,11,0.09762792000578537
wave,1980,12,0.08915708944557309
wave,1981,1,0.09703415326386541
wave,1981,2,0.06675990484149952
wave,1981,3,0.09093142616232548
wave,1981,4,0.020066781587040932
wave,1981,5,0.004678862407225034
wave,1981,6,0.008904922774124281
wave,1981,7,0.007689606821454761
wave,1981,8,0.03153114423220551
wave,1981,9,0.034008905501375
wave,1981,10,0.04631611267305118
wave,1981,11,0.07604395567858038
wave,1981,12,0.11675955083288767
wave,1982,1,0.09860745104018852
wave,1982,2,0.09101012439915529
wave,1982,3,0.0851345066426611
wave,1982,4,0.022143406543346872
wave,1982,5,0.0043678055788377275
wave,1982,6,0.006740493897548425
wave,1982,7,0.01854757432338664
wave,1982,8,0.023703280008452312
wave,1982,9,0.01699330228986738
wave,1982,10,0.06169713859229374
wave,1982,11,0.05789389686269001
wave,1982,12,0.17982772667506697
wave,1983,1,0.16389352470155785
wave,1983,2,0.12949465972399418
wave,1983,3,0.0845242350755153
wave,1983,4,0.009579801342791457
wave,1983,5,0.007787853723653801
wave,1983,6,0.009405890668854033
wave,1983,7,0.010877684442499714
wave,1983,8,0.025479723550992598
wave,1983,9,0.06996236391518477
wave,1983,10,0.03144898744217533
wave,1983,11,0.07380921308797177
wave,1983,12,0.10997037134869563
wave,1984,1,0.20767206947715233
wave,1984,2,0.10851309808835873
wave,1984,3,0.0581478055194101
wave,1984,4,0.04138433270770677
wave,1984,5,0.02376647635297893
wave,1984,6,0.008676283357052852
wave,1984,7,0.016906897364982562
wave,1984,8,0.02191517809975918
wave,1984,9,0.004748347217479025
wave,1984,10,0.027885942669499408
wave,1984,11,0.09556272999084817
wave,1984,12,0.06054986307124734
wave,1985,1,0.0935141345078125
wave,1985,2,0.0635736357943225
wave,1985,3,0.056413786203917314
wave,1985,4,0.02713746785997442
wave,1985,5,0.003697594415012099
wave,1985,6,0.02144805206862241
wave,1985,7,0.005596198573858522
wave,1985,8,0.014059260932450697
wave,1985,9,0.00708163580321142
wave,1985,10,0.024648585168522565
wave,1985,11,0.05534035944031646
wave,1985,12,0.12919896184554366
wave,1986,1,0.13777123724295295
wave,1986,2,0.11286589658739182
wave,1986,3,0.10056115810019518
wave,1986,4,0.023499002341602446
wave,1986,5,0.01205985853025057
wave,1986,6,0.0165170134303813
wave,1986,7,0.020189388797592713
wave,1986,8,0.02918926993125207
wave,1986,9,0.021425501147622917
wave,1986,10,0.03714656317530778
wave,1986,11,0.10534588711735383
wave,1986,12,0.1488252563460479
wave,1987,1,0.13830351170617528
wave,1987,2,0.08583636625702137
wave,1987,3,0.04466120026361077
wave,1987,4,0.040773575017204855
wave,1987,5,0.022810834081735797
wave,1987,6,0.01019739081648665
wave,1987,7,0.012507365414817888
wave,1987,8,0.01630094614927809
wave,1987,9,0.021409759320582745
wave,1987,10,0.059935565093436685
wave,1987,11,0.06293821387039635
wave,1987,12,0.1395121692875534
wave,1988,1,0.1709200193369023
wave,1988,2,0.12144308826163805
wave,1988,3,0.05931617825587584
wave,1988,4,0.027573630166198963
wave,1988,5,0.006816441777967715
wave,1988,6,0.005028974949056735
wave,1988,7,0.008298556947453593
wave,1988,8,0.009362760992564148
wave,1988,9,0.010304337616713621
wave,1988,10,0.027202042766078044
wave,1988,11,0.0594354122109295
wave,1988,12,0.062230456273767235
wave,1989,1,0.16140500623333703
wave,1989,2,0.12092458720391311
wave,1989,3,0.03807083265560616
wave,1989,4,0.03804024100610138
wave,1989,5,0.004439951839414251
wave,1989,6,0.0037852930243497335
wave,1989,7,0.023032040786766593
wave,1989,8,0.009747122751665872
wave,1989,9,0.016735311235597867
wave,1989,10,0.06271973591142348
wave,1989,11,0.05545242875274141
wave,1989,12,0.26635957830872
wave,1990,1,0.20293037882406645
wave,1990,2,0.1996656425181284
wave,1990,3,0.03785910338330753
wave,1990,4,0.016928038178832316
wave,1990,5,0.01612133818303388
wave,1990,6,0.009311595113087313
wave,1990,7,0.017396408331772407
wave,1990,8,0.03820264426317304
wave,1990,9,0.031542248658774474
wave,1990,10,0.011183086118913582
wave,1990,11,0.05341855653649888
wave,1990,12,0.11458949940535812
wave,1991,1,0.12940270148606883
wave,1991,2,0.08514408935595
wave,1991,3,0.052606408532654324
wave,1991,4,0.05703077840585912
wave,1991,5,0.016654747421066866
wave,1991,6,0.006862823267191736
wave,1991,7,0.01227379550347587
wave,1991,8,0.029432274000750505
wave,1991,9,0.055889607814242945
wave,1991,10,0.10759085525651017
wave,1991,11,0.07027506219675704
wave,1991,12,0.1606171381501175
wave,1992,1,0.11824985883753977
wave,1992,2,0.09048890525853479
wave,1992,3,0.06355342137722203
wave,1992,4,0.015006813000579183
wave,1992,5,0.03247133664549062
wave,1992,6,0.03744334530049518
wave,1992,7,0.026756267522483
wave,1992,8,0.01639822064186592
wave,1992,9,0.012452659734723977
wave,1992,10,0.026372429249752697
wave,1992,11,0.06676624487113404
wave,1992,12,0.12132961957774471
wave,1993,1,0.1874204253013562
wave,1993,2,0.08944704087819934
wave,1993,3,0.07430634489256195
wave,1993,4,0.046356164435568545
wave,1993,5,0.021697100824202033
wave,1993,6,0.013820306165655083
wave,1993,7,0.020436608898558615
wave,1993,8,0.016027703192570707
wave,1993,9,0.018328733950442103
