var,ssp,delivery_year,L_mean,L_sd,n_models
wave,SSP1-2.6,2030,21.036622306,,1
wave,SSP1-2.6,2040,21.257990446999997,,1
wave,SSP1-2.6,2050,21.366220748,,1
wave,SSP1-2.6,2060,20.529561803,,1
wave,SSP1-2.6,2070,21.031031038,,1
wave,SSP2-4.5,2030,20.189377835,,1
wave,SSP2-4.5,2040,20.483850903,,1
wave,SSP2-4.5,2050,20.231234987000004,,1
wave,SSP2-4.5,2060,19.783308162,,1
wave,SSP2-4.5,2070,20.441565473999997,,1
wave,SSP5-8.5,2030,20.070712147,,1
wave,SSP5-8.5,2040,18.983189079,,1
wave,SSP5-8.5,2050,18.238031360999997,,1
wave,SSP5-8.5,2060,18.250782497,,1
wave,SSP5-8.5,2070,17.659894522,,1
wind,SSP1-2.6,2030,7.571198248581936,1.3047440718424472,5
wind,SSP1-2.6,2040,7.3444365150353175,1.2894783324322945,5
wind,SSP1-2.6,2050,7.1921777659991735,1.4968559317342374,5
wind,SSP1-2.6,2060,7.2124608336900256,1.2879949024914585,5
wind,SSP1-2.6,2070,7.164482936557201,1.2876426840523985,5
wind,SSP2-4.5,2030,7.1962426532126305,0.775244329907036,5
wind,SSP2-4.5,2040,7.060411907394915,0.7509328168868301,5
wind,SSP2-4.5,2050,6.894312915536025,0.9471518427335381,5
wind,SSP2-4.5,2060,7.171473074531495,1.312188337541741,5
wind,SSP2-4.5,2070,7.386734218864964,1.354114130682892,5
wind,SSP5-8.5,2030,7.135618842813473,0.8459170996256582,5
wind,SSP5-8.5,2040,7.081373934181812,0.9216866411222451,5
wind,SSP5-8.5,2050,7.148159273190762,1.0783406193526022,5
wind,SSP5-8.5,2060,7.015012301186909,1.1137365433588977,5
wind,SSP5-8.5,2070,6.929365432070033,1.0714508168847023,5
