var,model,ssp,delivery_year,L
wave,masnum,SSP1-2.6,2030,21.036622306
wave,masnum,SSP1-2.6,2040,21.257990446999997
wave,masnum,SSP1-2.6,2050,21.366220748
wave,masnum,SSP1-2.6,2060,20.529561803
wave,masnum,SSP1-2.6,2070,21.031031038
wave,masnum,SSP2-4.5,2030,20.189377835
wave,masnum,SSP2-4.5,2040,20.483850903
wave,masnum,SSP2-4.5,2050,20.231234987000004
wave,masnum,SSP2-4.5,2060,19.783308162
wave,masnum,SSP2-4.5,2070,20.441565473999997
wave,masnum,SSP5-8.5,2030,20.070712147
wave,masnum,SSP5-8.5,2040,18.983189079
wave,masnum,SSP5-8.5,2050,18.238031360999997
wave,masnum,SSP5-8.5,2060,18.250782497
wave,masnum,SSP5-8.5,2070,17.659894522
wind,access_cm2,SSP1-2.6,2030,6.819690196095371
wind,access_cm2,SSP1-2.6,2040,6.484619983984192
wind,access_cm2,SSP1-2.6,2050,6.054884106171271
wind,access_cm2,SSP1-2.6,2060,6.340440784198206
wind,access_cm2,SSP1-2.6,2070,6.433262653268054
wind,access_cm2,SSP2-4.5,2030,6.60107613620313
wind,access_cm2,SSP2-4.5,2040,6.371538441069229
wind,access_cm2,SSP2-4.5,2050,6.19086881780512
wind,access_cm2,SSP2-4.5,2060,6.332657445658295
wind,access_cm2,SSP2-4.5,2070,6.438658460207257
wind,access_cm2,SSP5-8.5,2030,6.360454438974393
wind,access_cm2,SSP5-8.5,2040,6.148770992689497
wind,access_cm2,SSP5-8.5,2050,6.3263817836413985
wind,access_cm2,SSP5-8.5,2060,6.215582504817628
wind,access_cm2,SSP5-8.5,2070,6.0822763563337
wind,cmcc_cm2_sr5,SSP1-2.6,2030,6.801728883728629
wind,cmcc_cm2_sr5,SSP1-2.6,2040,6.833280220444131
wind,cmcc_cm2_sr5,SSP1-2.6,2050,7.108664253755054
wind,cmcc_cm2_sr5,SSP1-2.6,2060,7.158711736412172
wind,cmcc_cm2_sr5,SSP1-2.6,2070,6.770975951624598
wind,cmcc_cm2_sr5,SSP2-4.5,2030,6.95906518834323
wind,cmcc_cm2_sr5,SSP2-4.5,2040,6.787882433062175
wind,cmcc_cm2_sr5,SSP2-4.5,2050,6.514654890645479
wind,cmcc_cm2_sr5,SSP2-4.5,2060,6.589220741463465
wind,cmcc_cm2_sr5,SSP2-4.5,2070,7.012576669439908
wind,cmcc_cm2_sr5,SSP5-8.5,2030,6.976393995598287
wind,cmcc_cm2_sr5,SSP5-8.5,2040,6.972308028248415
wind,cmcc_cm2_sr5,SSP5-8.5,2050,6.637690119794009
wind,cmcc_cm2_sr5,SSP5-8.5,2060,6.540469948805967
wind,cmcc_cm2_sr5,SSP5-8.5,2070,6.726090671626132
wind,ipsl_cm6a_lr,SSP1-2.6,2030,6.600071198959377
wind,ipsl_cm6a_lr,SSP1-2.6,2040,6.395202989884835
wind,ipsl_cm6a_lr,SSP1-2.6,2050,6.123364116291219
wind,ipsl_cm6a_lr,SSP1-2.6,2060,6.244417270635601
wind,ipsl_cm6a_lr,SSP1-2.6,2070,6.26986164835911
wind,ipsl_cm6a_lr,SSP2-4.5,2030,6.431520855540436
wind,ipsl_cm6a_lr,SSP2-4.5,2040,6.46482642457943
wind,ipsl_cm6a_lr,SSP2-4.5,2050,6.003509924399326
wind,ipsl_cm6a_lr,SSP2-4.5,2060,5.9581771084665505
wind,ipsl_cm6a_lr,SSP2-4.5,2070,6.115169490616576
wind,ipsl_cm6a_lr,SSP5-8.5,2030,6.3894953396929655
wind,ipsl_cm6a_lr,SSP5-8.5,2040,6.334948621296991
wind,ipsl_cm6a_lr,SSP5-8.5,2050,6.318798634565205
wind,ipsl_cm6a_lr,SSP5-8.5,2060,6.144099003057723
wind,ipsl_cm6a_lr,SSP5-8.5,2070,6.0762045623210925
wind,mpi_esm1_2_lr,SSP1-2.6,2030,7.921649892515429
wind,mpi_esm1_2_lr,SSP1-2.6,2040,7.490210056071837
wind,mpi_esm1_2_lr,SSP1-2.6,2050,6.940858710382997
wind,mpi_esm1_2_lr,SSP1-2.6,2060,6.905963041232745
wind,mpi_esm1_2_lr,SSP1-2.6,2070,6.928498286360995
wind,mpi_esm1_2_lr,SSP2-4.5,2030,7.736483294305246
wind,mpi_esm1_2_lr,SSP2-4.5,2040,7.574375523390776
wind,mpi_esm1_2_lr,SSP2-4.5,2050,7.55898301074559
wind,mpi_esm1_2_lr,SSP2-4.5,2060,7.816829264893233
wind,mpi_esm1_2_lr,SSP2-4.5,2070,7.872804088889228
wind,mpi_esm1_2_lr,SSP5-8.5,2030,7.610287533821592
wind,mpi_esm1_2_lr,SSP5-8.5,2040,7.55080923365259
wind,mpi_esm1_2_lr,SSP5-8.5,2050,7.641057786549511
wind,mpi_esm1_2_lr,SSP5-8.5,2060,7.366829898243255
wind,mpi_esm1_2_lr,SSP5-8.5,2070,7.076901368273122
wind,mri_esm2_0,SSP1-2.6,2030,9.712851071610876
wind,mri_esm2_0,SSP1-2.6,2040,9.518869324791591
wind,mri_esm2_0,SSP1-2.6,2050,9.733117643395321
wind,mri_esm2_0,SSP1-2.6,2060,9.412771335971405
wind,mri_esm2_0,SSP1-2.6,2070,9.419816143173247
wind,mri_esm2_0,SSP2-4.5,2030,8.253067791671112
wind,mri_esm2_0,SSP2-4.5,2040,8.103436714872963
wind,mri_esm2_0,SSP2-4.5,2050,8.203547934084616
wind,mri_esm2_0,SSP2-4.5,2060,9.160480812175932
wind,mri_esm2_0,SSP2-4.5,2070,9.49446238517185
wind,mri_esm2_0,SSP5-8.5,2030,8.341462905980128
wind,mri_esm2_0,SSP5-8.5,2040,8.400032795021572
wind,mri_esm2_0,SSP5-8.5,2050,8.816868041403689
wind,mri_esm2_0,SSP5-8.5,2060,8.808080151009966
wind,mri_esm2_0,SSP5-8.5,2070,8.68535420179612
